comment_id,status_id,parent_id,comment_message,comment_author,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
10155945144449781_10155946917939781,122150409780_10155945144449781,,Sandra P. Lomantas,0,2017-10-28 04:31:14,1,1,0,0,0,0,0,0
10155945144449781_10155945651209781,122150409780_10155945144449781,,Miah Sale,0,2017-10-27 17:03:53,0,0,0,0,0,0,0,0
10155945144449781_10155945662999781,122150409780_10155945144449781,10155945144449781_10155945651209781,My lord that’s a heavy pumpkin 😳😳,0,2017-10-27 17:12:11,1,1,0,0,0,0,0,0
10155944879094781_10155946459359781,122150409780_10155944879094781,,Clever bugs!,0,2017-10-27 23:49:27,0,0,0,0,0,0,0,0
10155944879094781_10155952482949781,122150409780_10155944879094781,,Pinarimin calismasi,0,2017-10-30 00:39:07,0,0,0,0,0,0,0,0
10155944879094781_10155948604414781,122150409780_10155944879094781,,Keely Paris,0,2017-10-28 16:42:41,1,1,0,0,0,0,0,0
10155944879094781_10155948680614781,122150409780_10155944879094781,10155944879094781_10155948604414781,this is so cool what,0,2017-10-28 17:07:45,0,0,0,0,0,0,0,0
10155936647394781_10155937596309781,122150409780_10155936647394781,,Dude Vader reminds everyone UCSD is 1st in this sector of the Galaxy [[PHOTO]],0,2017-10-24 17:26:52,12,11,0,0,1,0,0,0
10155936647394781_10155938507454781,122150409780_10155936647394781,,Gonzalo Ferradas  John and Lisa Fox amazing building! Memory lane. Hugo Dixon check out the architecture 😉,0,2017-10-25 03:06:38,0,0,0,0,0,0,0,0
10155936647394781_10155938431004781,122150409780_10155936647394781,,Rhea Rhea this is not a meme but fuck it idc i have nobody to show this to,0,2017-10-25 02:24:32,2,1,1,0,0,0,0,0
10155936647394781_10155938768034781,122150409780_10155936647394781,10155936647394781_10155938431004781,Hahah aw no worries,0,2017-10-25 06:16:38,1,1,0,0,0,0,0,0
10155936647394781_10155938768244781,122150409780_10155936647394781,10155936647394781_10155938431004781,"Super pic, looks like a space station",0,2017-10-25 06:16:53,1,1,0,0,0,0,0,0
10155936647394781_10155938839224781,122150409780_10155936647394781,10155936647394781_10155938431004781,Sweetu,0,2017-10-25 07:02:52,0,0,0,0,0,0,0,0
10155936647394781_10155939376459781,122150409780_10155936647394781,10155936647394781_10155938431004781,Library hai woh,0,2017-10-25 11:25:32,1,1,0,0,0,0,0,0
10155936647394781_10155939487429781,122150409780_10155936647394781,10155936647394781_10155938431004781,"I know, you've sent pictures before",0,2017-10-25 12:17:28,0,0,0,0,0,0,0,0
10155936647394781_10155940428719781,122150409780_10155936647394781,,And yet were rated in the 40's nationally.,0,2017-10-25 19:43:42,0,0,0,0,0,0,0,0
